market,model_name,config_index,model_hyperparameters_dict,start_date,end_date,test_data_values_list,test_data_model_predictions_list
NewZealand,MLP,0,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.01, ""batch_size"": 16, ""epochs"": 32}",2022-10-20 00:00:00,2022-10-28 00:00:00,"[81.2, 81.2, 81.25, 82.0, 82.5, 84.75, 85.0]","[81.17882537841797, 81.58068084716797, 81.93733215332031, 81.89921569824219, 81.9615249633789, 82.05128479003906, 81.76546478271484]"
NewZealand,MLP,1,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.01, ""batch_size"": 32, ""epochs"": 32}",2022-10-20 00:00:00,2022-10-28 00:00:00,"[81.2, 81.2, 81.25, 82.0, 82.5, 84.75, 85.0]","[81.06128692626953, 81.02952575683594, 81.13359832763672, 80.95345306396484, 81.25740051269531, 81.4442367553711, 81.55144500732422]"
NewZealand,MLP,2,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.01, ""batch_size"": 64, ""epochs"": 32}",2022-10-20 00:00:00,2022-10-28 00:00:00,"[81.2, 81.2, 81.25, 82.0, 82.5, 84.75, 85.0]","[81.06128692626953, 81.02952575683594, 81.13359832763672, 80.95345306396484, 81.25740051269531, 81.4442367553711, 81.55144500732422]"
NewZealand,MLP,3,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.003, ""batch_size"": 16, ""epochs"": 32}",2022-10-20 00:00:00,2022-10-28 00:00:00,"[81.2, 81.2, 81.25, 82.0, 82.5, 84.75, 85.0]","[81.23632049560547, 81.28951263427734, 81.29332733154297, 81.25615692138672, 81.32733917236328, 81.1828842163086, 81.17996978759766]"
NewZealand,MLP,4,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.003, ""batch_size"": 32, ""epochs"": 32}",2022-10-20 00:00:00,2022-10-28 00:00:00,"[81.2, 81.2, 81.25, 82.0, 82.5, 84.75, 85.0]","[80.98664855957031, 81.04743194580078, 81.02815246582031, 81.06192016601562, 81.15094757080078, 81.22308349609375, 81.22501373291016]"
NewZealand,MLP,5,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.003, ""batch_size"": 64, ""epochs"": 32}",2022-10-20 00:00:00,2022-10-28 00:00:00,"[81.2, 81.2, 81.25, 82.0, 82.5, 84.75, 85.0]","[80.98664855957031, 81.04743194580078, 81.02815246582031, 81.06192016601562, 81.15094757080078, 81.22308349609375, 81.22501373291016]"
NewZealand,MLP,6,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.001, ""batch_size"": 16, ""epochs"": 32}",2022-10-20 00:00:00,2022-10-28 00:00:00,"[81.2, 81.2, 81.25, 82.0, 82.5, 84.75, 85.0]","[81.07527160644531, 81.20893096923828, 81.31339263916016, 81.39376068115234, 81.4731216430664, 81.4798583984375, 81.40840148925781]"
NewZealand,MLP,7,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.001, ""batch_size"": 32, ""epochs"": 32}",2022-10-20 00:00:00,2022-10-28 00:00:00,"[81.2, 81.2, 81.25, 82.0, 82.5, 84.75, 85.0]","[80.9144058227539, 80.96307373046875, 80.933837890625, 81.02494049072266, 81.06631469726562, 81.15934753417969, 81.24323272705078]"
NewZealand,MLP,8,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.001, ""batch_size"": 64, ""epochs"": 32}",2022-10-20 00:00:00,2022-10-28 00:00:00,"[81.2, 81.2, 81.25, 82.0, 82.5, 84.75, 85.0]","[80.9144058227539, 80.96307373046875, 80.933837890625, 81.02494049072266, 81.06631469726562, 81.15934753417969, 81.24323272705078]"
NewZealand,MLP,9,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""tanh"", ""learning_rate"": 0.01, ""batch_size"": 16, ""epochs"": 32}",2022-10-20 00:00:00,2022-10-28 00:00:00,"[81.2, 81.2, 81.25, 82.0, 82.5, 84.75, 85.0]","[80.9671401977539, 81.13551330566406, 81.10501098632812, 81.00939178466797, 81.11414337158203, 81.31486511230469, 81.44806671142578]"
