market,model_name,config_index,model_hyperparameters_dict,start_date,end_date,test_data_values_list,test_data_model_predictions_list
RGGI,MLP,0,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.01, ""batch_size"": 16, ""epochs"": 32}",2022-10-20 00:00:00,2022-10-28 00:00:00,"[12.86, 12.96, 13.04, 13.06, 13.37, 13.42, 13.48]","[12.857450485229492, 12.89294719696045, 12.99143123626709, 13.091094017028809, 13.209482192993164, 13.279406547546387, 13.292041778564453]"
RGGI,MLP,1,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.01, ""batch_size"": 32, ""epochs"": 32}",2022-10-20 00:00:00,2022-10-28 00:00:00,"[12.86, 12.96, 13.04, 13.06, 13.37, 13.42, 13.48]","[12.864983558654785, 12.94312572479248, 13.032196044921875, 13.132732391357422, 13.160648345947266, 13.220929145812988, 13.2621431350708]"
RGGI,MLP,2,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.01, ""batch_size"": 64, ""epochs"": 32}",2022-10-20 00:00:00,2022-10-28 00:00:00,"[12.86, 12.96, 13.04, 13.06, 13.37, 13.42, 13.48]","[12.864983558654785, 12.94312572479248, 13.032196044921875, 13.132732391357422, 13.160648345947266, 13.220929145812988, 13.2621431350708]"
RGGI,MLP,3,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.003, ""batch_size"": 16, ""epochs"": 32}",2022-10-20 00:00:00,2022-10-28 00:00:00,"[12.86, 12.96, 13.04, 13.06, 13.37, 13.42, 13.48]","[12.80605697631836, 12.865717887878418, 12.9398832321167, 13.023175239562988, 13.134001731872559, 13.215904235839844, 13.249868392944336]"
RGGI,MLP,4,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.003, ""batch_size"": 32, ""epochs"": 32}",2022-10-20 00:00:00,2022-10-28 00:00:00,"[12.86, 12.96, 13.04, 13.06, 13.37, 13.42, 13.48]","[12.854694366455078, 12.895273208618164, 12.945825576782227, 13.024205207824707, 13.087926864624023, 13.169678688049316, 13.214719772338867]"
RGGI,MLP,5,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.003, ""batch_size"": 64, ""epochs"": 32}",2022-10-20 00:00:00,2022-10-28 00:00:00,"[12.86, 12.96, 13.04, 13.06, 13.37, 13.42, 13.48]","[12.854694366455078, 12.895273208618164, 12.945825576782227, 13.024205207824707, 13.087926864624023, 13.169678688049316, 13.214719772338867]"
RGGI,MLP,6,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.001, ""batch_size"": 16, ""epochs"": 32}",2022-10-20 00:00:00,2022-10-28 00:00:00,"[12.86, 12.96, 13.04, 13.06, 13.37, 13.42, 13.48]","[12.83657169342041, 12.87368106842041, 12.921417236328125, 12.998233795166016, 13.085354804992676, 13.140192031860352, 13.161844253540039]"
RGGI,MLP,7,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.001, ""batch_size"": 32, ""epochs"": 32}",2022-10-20 00:00:00,2022-10-28 00:00:00,"[12.86, 12.96, 13.04, 13.06, 13.37, 13.42, 13.48]","[12.838455200195312, 12.860782623291016, 12.895499229431152, 12.970025062561035, 13.055495262145996, 13.128641128540039, 13.178077697753906]"
RGGI,MLP,8,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.001, ""batch_size"": 64, ""epochs"": 32}",2022-10-20 00:00:00,2022-10-28 00:00:00,"[12.86, 12.96, 13.04, 13.06, 13.37, 13.42, 13.48]","[12.838455200195312, 12.860782623291016, 12.895499229431152, 12.970025062561035, 13.055495262145996, 13.128641128540039, 13.178077697753906]"
RGGI,MLP,9,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""tanh"", ""learning_rate"": 0.01, ""batch_size"": 16, ""epochs"": 32}",2022-10-20 00:00:00,2022-10-28 00:00:00,"[12.86, 12.96, 13.04, 13.06, 13.37, 13.42, 13.48]","[12.89291763305664, 12.936356544494629, 12.99420166015625, 13.1546630859375, 13.360795974731445, 13.455219268798828, 13.42294979095459]"
