market,model_name,config_index,model_hyperparameters_dict,start_date,end_date,test_data_values_list,test_data_model_predictions_list
RGGI,TCN,0,"{""channels"": 32, ""blocks"": 2, ""kernel_size"": 5, ""activation"": ""relu"", ""learning_rate"": 0.01, ""batch_size"": 16, ""epochs"": 32}",2022-10-20 00:00:00,2022-10-28 00:00:00,"[12.86, 12.96, 13.04, 13.06, 13.37, 13.42, 13.48]","[12.929719924926758, 13.002474784851074, 13.03092098236084, 13.169736862182617, 13.215887069702148, 13.3599214553833, 13.421314239501953]"
RGGI,TCN,1,"{""channels"": 32, ""blocks"": 2, ""kernel_size"": 5, ""activation"": ""relu"", ""learning_rate"": 0.01, ""batch_size"": 32, ""epochs"": 32}",2022-10-20 00:00:00,2022-10-28 00:00:00,"[12.86, 12.96, 13.04, 13.06, 13.37, 13.42, 13.48]","[12.937238693237305, 12.945535659790039, 13.014961242675781, 13.0835542678833, 13.17946720123291, 13.312634468078613, 13.432870864868164]"
RGGI,TCN,2,"{""channels"": 32, ""blocks"": 2, ""kernel_size"": 5, ""activation"": ""relu"", ""learning_rate"": 0.01, ""batch_size"": 64, ""epochs"": 32}",2022-10-20 00:00:00,2022-10-28 00:00:00,"[12.86, 12.96, 13.04, 13.06, 13.37, 13.42, 13.48]","[12.937238693237305, 12.945535659790039, 13.014961242675781, 13.0835542678833, 13.17946720123291, 13.312634468078613, 13.432870864868164]"
RGGI,TCN,3,"{""channels"": 32, ""blocks"": 2, ""kernel_size"": 5, ""activation"": ""relu"", ""learning_rate"": 0.003, ""batch_size"": 16, ""epochs"": 32}",2022-10-20 00:00:00,2022-10-28 00:00:00,"[12.86, 12.96, 13.04, 13.06, 13.37, 13.42, 13.48]","[12.920777320861816, 12.930290222167969, 12.976207733154297, 13.0746488571167, 13.184778213500977, 13.323332786560059, 13.414587020874023]"
RGGI,TCN,4,"{""channels"": 32, ""blocks"": 2, ""kernel_size"": 5, ""activation"": ""relu"", ""learning_rate"": 0.003, ""batch_size"": 32, ""epochs"": 32}",2022-10-20 00:00:00,2022-10-28 00:00:00,"[12.86, 12.96, 13.04, 13.06, 13.37, 13.42, 13.48]","[12.89453125, 12.91469669342041, 12.952448844909668, 13.049783706665039, 13.171435356140137, 13.32304573059082, 13.425311088562012]"
RGGI,TCN,5,"{""channels"": 32, ""blocks"": 2, ""kernel_size"": 5, ""activation"": ""relu"", ""learning_rate"": 0.003, ""batch_size"": 64, ""epochs"": 32}",2022-10-20 00:00:00,2022-10-28 00:00:00,"[12.86, 12.96, 13.04, 13.06, 13.37, 13.42, 13.48]","[12.89453125, 12.91469669342041, 12.952448844909668, 13.049783706665039, 13.171435356140137, 13.32304573059082, 13.425311088562012]"
RGGI,TCN,6,"{""channels"": 32, ""blocks"": 2, ""kernel_size"": 5, ""activation"": ""relu"", ""learning_rate"": 0.001, ""batch_size"": 16, ""epochs"": 32}",2022-10-20 00:00:00,2022-10-28 00:00:00,"[12.86, 12.96, 13.04, 13.06, 13.37, 13.42, 13.48]","[12.878264427185059, 12.91224193572998, 12.957879066467285, 13.06946849822998, 13.178977966308594, 13.342331886291504, 13.41897964477539]"
RGGI,TCN,7,"{""channels"": 32, ""blocks"": 2, ""kernel_size"": 5, ""activation"": ""relu"", ""learning_rate"": 0.001, ""batch_size"": 32, ""epochs"": 32}",2022-10-20 00:00:00,2022-10-28 00:00:00,"[12.86, 12.96, 13.04, 13.06, 13.37, 13.42, 13.48]","[12.834250450134277, 12.872893333435059, 12.919049263000488, 13.041701316833496, 13.178677558898926, 13.330672264099121, 13.422682762145996]"
RGGI,TCN,8,"{""channels"": 32, ""blocks"": 2, ""kernel_size"": 5, ""activation"": ""relu"", ""learning_rate"": 0.001, ""batch_size"": 64, ""epochs"": 32}",2022-10-20 00:00:00,2022-10-28 00:00:00,"[12.86, 12.96, 13.04, 13.06, 13.37, 13.42, 13.48]","[12.834250450134277, 12.872893333435059, 12.919049263000488, 13.041701316833496, 13.178677558898926, 13.330672264099121, 13.422682762145996]"
RGGI,TCN,9,"{""channels"": 32, ""blocks"": 2, ""kernel_size"": 5, ""activation"": ""tanh"", ""learning_rate"": 0.01, ""batch_size"": 16, ""epochs"": 32}",2022-10-20 00:00:00,2022-10-28 00:00:00,"[12.86, 12.96, 13.04, 13.06, 13.37, 13.42, 13.48]","[12.895713806152344, 12.953695297241211, 12.973966598510742, 13.103169441223145, 13.213523864746094, 13.401981353759766, 13.409831047058105]"
