,Price,equity_index,fx_rate,CL_F,NG_F,RB_F,HRC_F,ALI_F,SMA_5,PPO_12_26,RSI_14,ROC_10,ATR_14,CO_chaikin_3_10
2022-09-01,27600.0,2415.610107421875,1342.260009765625,86.61000061035156,9.26200008392334,2.3852999210357666,781.0,2277.25,27520.0,1.4738170936030557,57.9747778464394,0.7299270072992803,135.71428571428572,0.9594014998737084
2022-09-02,27500.0,2409.409912109375,1355.0999755859375,86.87000274658203,8.78600025177002,2.463599920272827,780.0,2276.5,27560.0,1.372443707896906,56.422469312463456,-0.7220216606498187,137.5,0.43615808289432056
2022-09-05,27000.0,2403.679931640625,1361.510009765625,86.87749862670898,8.305250406265259,2.4278249740600586,776.25,2255.125,27500.0,1.1318767751843548,49.312744183064375,-2.527075812274371,171.42857142857142,-0.1357285952240037
2022-09-06,27100.0,2410.02001953125,1361.81005859375,86.87999725341797,8.145000457763672,2.4158999919891357,775.0,2248.0,27390.0,0.9596288104725974,50.65206429644144,0.0,171.42857142857142,-0.03916145488840872
2022-09-07,27100.0,2376.4599609375,1378.1099853515625,81.94000244140625,7.8420000076293945,2.3076999187469482,800.0,2221.0,27260.0,0.8137431176419775,50.65206429644144,0.0,171.42857142857142,0.003903416602372367
2022-09-08,27100.0,2384.280029296875,1374.31005859375,83.54000091552734,7.914999961853027,2.346100091934204,812.0,2240.25,27160.0,0.6901736306578597,50.65206429644144,0.0,150.0,0.021166007975658374
2022-09-09,27100.0,2397.33203125,1383.0,86.79000091552734,7.995999813079834,2.4330999851226807,818.0,2275.75,27080.0,0.5854961496958835,50.65206429644144,-0.73260073260073,150.0,0.026303794630579524
2022-09-12,27100.0,2436.488037109375,1379.06005859375,87.77999877929688,8.24899959564209,2.4447999000549316,805.0,2272.5,27100.0,0.49681269029263453,50.65206429644144,-0.73260073260073,107.14285714285714,0.026014362386631795
2022-09-13,27100.0,2449.5400390625,1375.81005859375,87.30999755859375,8.284000396728516,2.4804000854492188,805.0,2299.5,27100.0,0.4216705516593239,50.65206429644144,-1.9891500904159143,107.14285714285714,0.02353101625168641
2022-09-14,27050.0,2411.419921875,1393.469970703125,88.4800033569336,9.11400032043457,2.5244998931884766,793.0,2259.25,27090.0,0.34332062043597683,49.629239296249956,-2.522522522522519,110.71428571428571,-0.29780589955367187
2022-09-15,27000.0,2401.830078125,1391.1800537109375,85.0999984741211,8.324000358581543,2.4286999702453613,800.0,2290.75,27070.0,0.26332583406157106,48.572948881144605,-2.1739130434782594,100.0,-0.7203704651509844
2022-09-16,26900.0,2382.780029296875,1398.6300048828125,85.11000061035156,7.763999938964844,2.4156999588012695,789.0,2264.25,27030.0,0.16821657993478067,46.443883836624515,-2.1818181818181848,107.14285714285714,-1.1459313815179764
2022-09-19,25450.0,2355.659912109375,1385.22998046875,85.7300033569336,7.751999855041504,2.464099884033203,787.0,2235.5,26700.0,-0.33708452443867626,27.57199587251843,-5.740740740740746,185.71428571428572,-1.5340307217119298
2022-09-20,24000.0,2367.85009765625,1390.1099853515625,84.44999694824219,7.7170000076293945,2.4477999210357666,798.0,2228.25,26080.0,-1.1683725295319292,19.179262771719863,-11.439114391143912,282.14285714285717,-1.8715231134538266
2022-09-21,23200.0,2347.2099609375,1392.510009765625,82.94000244140625,7.7789998054504395,2.4865000247955322,798.0,2179.75,25310.0,-2.063110533714778,16.24177902090264,-14.39114391143912,328.57142857142856,-2.1576315361251637
