market,model_name,config_index,model_hyperparameters_dict,start_date,end_date,test_data_values_list,test_data_model_predictions_list
RGGI,MLP,0,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.01, ""batch_size"": 16, ""epochs"": 32}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[13.22, 13.19, 13.14, 13.1, 13.0, 13.12, 13.15, 13.34, 13.3, 13.27, 13.25, 13.4375, 13.5, 13.4, 13.3, 13.43]","[13.083110809326172, 13.0858793258667, 13.079021453857422, 13.074860572814941, 13.075709342956543, 13.069759368896484, 13.07950496673584, 13.072710990905762, 13.06903076171875, 13.0718355178833, 13.082304000854492, 13.0711088180542, 13.071718215942383, 13.083845138549805, 13.114676475524902, 13.108660697937012]"
RGGI,MLP,1,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.01, ""batch_size"": 16, ""epochs"": 64}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[13.22, 13.19, 13.14, 13.1, 13.0, 13.12, 13.15, 13.34, 13.3, 13.27, 13.25, 13.4375, 13.5, 13.4, 13.3, 13.43]","[13.098392486572266, 13.105891227722168, 13.093793869018555, 13.092248916625977, 13.086906433105469, 13.078628540039062, 13.099228858947754, 13.087320327758789, 13.079924583435059, 13.083357810974121, 13.10020923614502, 13.091252326965332, 13.082001686096191, 13.086897850036621, 13.11909294128418, 13.115523338317871]"
RGGI,MLP,2,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.01, ""batch_size"": 32, ""epochs"": 32}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[13.22, 13.19, 13.14, 13.1, 13.0, 13.12, 13.15, 13.34, 13.3, 13.27, 13.25, 13.4375, 13.5, 13.4, 13.3, 13.43]","[13.144500732421875, 13.177725791931152, 13.185102462768555, 13.213321685791016, 13.210761070251465, 13.163763999938965, 13.168072700500488, 13.14627456665039, 13.12360954284668, 13.122174263000488, 13.13522720336914, 13.12398624420166, 13.098690032958984, 13.08791732788086, 13.11703109741211, 13.098942756652832]"
RGGI,MLP,3,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.01, ""batch_size"": 32, ""epochs"": 64}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[13.22, 13.19, 13.14, 13.1, 13.0, 13.12, 13.15, 13.34, 13.3, 13.27, 13.25, 13.4375, 13.5, 13.4, 13.3, 13.43]","[13.134272575378418, 13.163911819458008, 13.166861534118652, 13.20151138305664, 13.199504852294922, 13.147246360778809, 13.162264823913574, 13.13479995727539, 13.112775802612305, 13.114751815795898, 13.134221076965332, 13.119555473327637, 13.09574031829834, 13.079322814941406, 13.109552383422852, 13.09706974029541]"
RGGI,MLP,4,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.01, ""batch_size"": 64, ""epochs"": 32}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[13.22, 13.19, 13.14, 13.1, 13.0, 13.12, 13.15, 13.34, 13.3, 13.27, 13.25, 13.4375, 13.5, 13.4, 13.3, 13.43]","[13.120366096496582, 13.1563081741333, 13.166138648986816, 13.182912826538086, 13.173900604248047, 13.117647171020508, 13.131169319152832, 13.089059829711914, 13.0733003616333, 13.072907447814941, 13.069074630737305, 13.0453462600708, 12.985936164855957, 12.992603302001953, 13.02459716796875, 13.005549430847168]"
RGGI,MLP,5,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.01, ""batch_size"": 64, ""epochs"": 64}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[13.22, 13.19, 13.14, 13.1, 13.0, 13.12, 13.15, 13.34, 13.3, 13.27, 13.25, 13.4375, 13.5, 13.4, 13.3, 13.43]","[13.120794296264648, 13.153091430664062, 13.141451835632324, 13.18310546875, 13.163215637207031, 13.100510597229004, 13.13536262512207, 13.08437442779541, 13.059901237487793, 13.050965309143066, 13.058440208435059, 13.03273868560791, 12.960531234741211, 12.966805458068848, 13.008125305175781, 12.998661994934082]"
RGGI,MLP,6,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.003, ""batch_size"": 16, ""epochs"": 32}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[13.22, 13.19, 13.14, 13.1, 13.0, 13.12, 13.15, 13.34, 13.3, 13.27, 13.25, 13.4375, 13.5, 13.4, 13.3, 13.43]","[13.10144329071045, 13.09885311126709, 13.062339782714844, 13.06197452545166, 13.082512855529785, 13.076138496398926, 13.08409309387207, 13.065022468566895, 13.047993659973145, 13.057618141174316, 13.076616287231445, 13.070006370544434, 13.058642387390137, 13.054914474487305, 13.08630084991455, 13.100656509399414]"
RGGI,MLP,7,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.003, ""batch_size"": 16, ""epochs"": 64}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[13.22, 13.19, 13.14, 13.1, 13.0, 13.12, 13.15, 13.34, 13.3, 13.27, 13.25, 13.4375, 13.5, 13.4, 13.3, 13.43]","[13.103904724121094, 13.093749046325684, 13.057175636291504, 13.054018020629883, 13.075057983398438, 13.066774368286133, 13.079176902770996, 13.056735038757324, 13.04253101348877, 13.051770210266113, 13.076848983764648, 13.06955623626709, 13.05648422241211, 13.051169395446777, 13.082677841186523, 13.106120109558105]"
RGGI,MLP,8,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.003, ""batch_size"": 32, ""epochs"": 32}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[13.22, 13.19, 13.14, 13.1, 13.0, 13.12, 13.15, 13.34, 13.3, 13.27, 13.25, 13.4375, 13.5, 13.4, 13.3, 13.43]","[13.103597640991211, 13.107156753540039, 13.094073295593262, 13.092856407165527, 13.108258247375488, 13.095577239990234, 13.09784984588623, 13.07529067993164, 13.066658973693848, 13.064178466796875, 13.090012550354004, 13.095149040222168, 13.075262069702148, 13.07181167602539, 13.090400695800781, 13.099605560302734]"
RGGI,MLP,9,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.003, ""batch_size"": 32, ""epochs"": 64}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[13.22, 13.19, 13.14, 13.1, 13.0, 13.12, 13.15, 13.34, 13.3, 13.27, 13.25, 13.4375, 13.5, 13.4, 13.3, 13.43]","[13.100112915039062, 13.106582641601562, 13.081677436828613, 13.0742769241333, 13.094073295593262, 13.070128440856934, 13.095237731933594, 13.072980880737305, 13.057568550109863, 13.04842472076416, 13.077174186706543, 13.083843231201172, 13.051095962524414, 13.046289443969727, 13.074085235595703, 13.088290214538574]"
RGGI,MLP,10,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.003, ""batch_size"": 64, ""epochs"": 32}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[13.22, 13.19, 13.14, 13.1, 13.0, 13.12, 13.15, 13.34, 13.3, 13.27, 13.25, 13.4375, 13.5, 13.4, 13.3, 13.43]","[13.133316993713379, 13.143129348754883, 13.140286445617676, 13.13568115234375, 13.128629684448242, 13.111474990844727, 13.109406471252441, 13.100540161132812, 13.095900535583496, 13.099337577819824, 13.102685928344727, 13.116825103759766, 13.102770805358887, 13.106257438659668, 13.111332893371582, 13.104964256286621]"
