timeframe,ticker,market,model_name,config_index,window_id,model_hyperparameters_dict,start_date,end_date,test_data_values_list,test_data_model_predictions_list
co2,California,California,NAIVE_LAST_PRICE,-1,0,{},2022-09-28 00:00:00,2022-09-28 00:00:00,[16.32],[16.27]
co2,California,California,NAIVE_LAST_PRICE,-1,1,{},2022-09-29 00:00:00,2022-09-29 00:00:00,[16.48],[16.32]
co2,California,California,NAIVE_LAST_PRICE,-1,2,{},2022-09-30 00:00:00,2022-09-30 00:00:00,[16.94],[16.48]
co2,California,California,NAIVE_LAST_PRICE,-1,3,{},2022-10-03 00:00:00,2022-10-03 00:00:00,[17.02],[16.94]
co2,California,California,NAIVE_LAST_PRICE,-1,4,{},2022-10-04 00:00:00,2022-10-04 00:00:00,[16.96],[17.02]
co2,California,California,NAIVE_LAST_PRICE,-1,5,{},2022-10-05 00:00:00,2022-10-05 00:00:00,[17.31],[16.96]
co2,California,California,NAIVE_LAST_PRICE,-1,6,{},2022-10-06 00:00:00,2022-10-06 00:00:00,[17.24],[17.31]
co2,California,California,NAIVE_LAST_PRICE,-1,7,{},2022-10-07 00:00:00,2022-10-07 00:00:00,[17.29],[17.24]
co2,California,California,NAIVE_LAST_PRICE,-1,8,{},2022-10-10 00:00:00,2022-10-10 00:00:00,[17.43],[17.29]
co2,California,California,NAIVE_LAST_PRICE,-1,9,{},2022-10-11 00:00:00,2022-10-11 00:00:00,[17.63],[17.43]
co2,California,California,NAIVE_LAST_PRICE,-1,10,{},2022-10-12 00:00:00,2022-10-12 00:00:00,[17.64],[17.63]
co2,California,California,NAIVE_LAST_PRICE,-1,11,{},2022-10-13 00:00:00,2022-10-13 00:00:00,[17.46],[17.64]
co2,California,California,NAIVE_LAST_PRICE,-1,12,{},2022-10-14 00:00:00,2022-10-14 00:00:00,[17.45],[17.46]
co2,California,California,NAIVE_LAST_PRICE,-1,13,{},2022-10-17 00:00:00,2022-10-17 00:00:00,[17.45],[17.45]
co2,California,California,NAIVE_LAST_PRICE,-1,14,{},2022-10-18 00:00:00,2022-10-18 00:00:00,[17.22],[17.45]
co2,California,California,NAIVE_LAST_PRICE,-1,15,{},2022-10-19 00:00:00,2022-10-19 00:00:00,[17.23],[17.22]
co2,California,California,NAIVE_LAST_PRICE,-1,16,{},2022-10-20 00:00:00,2022-10-20 00:00:00,[17.22],[17.23]
co2,California,California,NAIVE_LAST_PRICE,-1,17,{},2022-10-21 00:00:00,2022-10-21 00:00:00,[17.46],[17.22]
co2,California,California,NAIVE_LAST_PRICE,-1,18,{},2022-10-24 00:00:00,2022-10-24 00:00:00,[17.59],[17.46]
co2,California,California,NAIVE_LAST_PRICE,-1,19,{},2022-10-25 00:00:00,2022-10-25 00:00:00,[17.58],[17.59]
co2,California,California,NAIVE_LAST_PRICE,-1,20,{},2022-10-26 00:00:00,2022-10-26 00:00:00,[17.88],[17.58]
co2,California,California,NAIVE_LAST_PRICE,-1,21,{},2022-10-27 00:00:00,2022-10-27 00:00:00,[18.0],[17.88]
co2,California,California,NAIVE_LAST_PRICE,-1,22,{},2022-10-28 00:00:00,2022-10-28 00:00:00,[18.53],[18.0]
co2,California,California,NAIVE_LAST_PRICE,-1,23,{},2022-10-31 00:00:00,2022-10-31 00:00:00,[18.07],[18.53]
co2,California,California,NAIVE_LAST_PRICE,-1,24,{},2022-11-01 00:00:00,2022-11-01 00:00:00,[17.95],[18.07]
co2,California,California,NAIVE_LAST_PRICE,-1,25,{},2022-11-02 00:00:00,2022-11-02 00:00:00,[17.66],[17.95]
co2,California,California,NAIVE_LAST_PRICE,-1,26,{},2022-11-03 00:00:00,2022-11-03 00:00:00,[17.41],[17.66]
co2,California,California,NAIVE_LAST_PRICE,-1,27,{},2022-11-04 00:00:00,2022-11-04 00:00:00,[17.48],[17.41]
co2,California,California,NAIVE_LAST_PRICE,-1,28,{},2022-11-07 00:00:00,2022-11-07 00:00:00,[17.47],[17.48]
co2,California,California,NAIVE_LAST_PRICE,-1,29,{},2022-11-08 00:00:00,2022-11-08 00:00:00,[17.34],[17.47]
co2,California,California,NAIVE_LAST_PRICE,-1,30,{},2022-11-09 00:00:00,2022-11-09 00:00:00,[17.32],[17.34]
co2,California,California,NAIVE_LAST_PRICE,-1,31,{},2022-11-10 00:00:00,2022-11-10 00:00:00,[17.23],[17.32]
co2,California,California,NAIVE_LAST_PRICE,-1,32,{},2022-11-11 00:00:00,2022-11-11 00:00:00,[17.19],[17.23]
co2,California,California,NAIVE_LAST_PRICE,-1,33,{},2022-11-14 00:00:00,2022-11-14 00:00:00,[17.13],[17.19]
co2,California,California,NAIVE_LAST_PRICE,-1,34,{},2022-11-15 00:00:00,2022-11-15 00:00:00,[17.34],[17.13]
co2,California,California,NAIVE_LAST_PRICE,-1,35,{},2022-11-16 00:00:00,2022-11-16 00:00:00,[17.51],[17.34]
co2,California,California,NAIVE_LAST_PRICE,-1,36,{},2022-11-17 00:00:00,2022-11-17 00:00:00,[17.19],[17.51]
co2,California,California,NAIVE_LAST_PRICE,-1,37,{},2022-11-18 00:00:00,2022-11-18 00:00:00,[17.11],[17.19]
co2,California,California,NAIVE_LAST_PRICE,-1,38,{},2022-11-21 00:00:00,2022-11-21 00:00:00,[17.11],[17.11]
co2,California,California,NAIVE_LAST_PRICE,-1,39,{},2022-11-22 00:00:00,2022-11-22 00:00:00,[16.7],[17.11]
co2,California,California,NAIVE_LAST_PRICE,-1,40,{},2022-11-23 00:00:00,2022-11-23 00:00:00,[16.66],[16.7]
co2,California,California,NAIVE_LAST_PRICE,-1,41,{},2022-11-24 00:00:00,2022-11-24 00:00:00,[16.62],[16.66]
co2,California,California,NAIVE_LAST_PRICE,-1,42,{},2022-11-25 00:00:00,2022-11-25 00:00:00,[16.12],[16.62]
co2,California,California,NAIVE_LAST_PRICE,-1,43,{},2022-11-28 00:00:00,2022-11-28 00:00:00,[16.08],[16.12]
co2,California,California,NAIVE_LAST_PRICE,-1,44,{},2022-11-29 00:00:00,2022-11-29 00:00:00,[16.36],[16.08]
co2,California,California,NAIVE_LAST_PRICE,-1,45,{},2022-11-30 00:00:00,2022-11-30 00:00:00,[16.61],[16.36]
co2,California,California,NAIVE_LAST_PRICE,-1,46,{},2022-12-01 00:00:00,2022-12-01 00:00:00,[16.76],[16.61]
co2,California,California,NAIVE_LAST_PRICE,-1,47,{},2022-12-02 00:00:00,2022-12-02 00:00:00,[16.7],[16.76]
co2,California,California,NAIVE_LAST_PRICE,-1,48,{},2022-12-05 00:00:00,2022-12-05 00:00:00,[16.7],[16.7]
co2,California,California,NAIVE_LAST_PRICE,-1,49,{},2022-12-06 00:00:00,2022-12-06 00:00:00,[16.84],[16.7]
co2,California,California,NAIVE_LAST_PRICE,-1,50,{},2022-12-07 00:00:00,2022-12-07 00:00:00,[16.75],[16.84]
co2,California,California,NAIVE_LAST_PRICE,-1,51,{},2022-12-08 00:00:00,2022-12-08 00:00:00,[16.87],[16.75]
co2,California,California,NAIVE_LAST_PRICE,-1,52,{},2022-12-09 00:00:00,2022-12-09 00:00:00,[17.11],[16.87]
co2,California,California,NAIVE_LAST_PRICE,-1,53,{},2022-12-12 00:00:00,2022-12-12 00:00:00,[17.2],[17.11]
co2,California,California,NAIVE_LAST_PRICE,-1,54,{},2022-12-13 00:00:00,2022-12-13 00:00:00,[17.19],[17.2]
co2,California,California,NAIVE_LAST_PRICE,-1,55,{},2022-12-14 00:00:00,2022-12-14 00:00:00,[17.3],[17.19]
co2,California,California,NAIVE_LAST_PRICE,-1,56,{},2022-12-15 00:00:00,2022-12-15 00:00:00,[17.28],[17.3]
co2,California,California,NAIVE_LAST_PRICE,-1,57,{},2022-12-16 00:00:00,2022-12-16 00:00:00,[17.31],[17.28]
co2,California,California,NAIVE_LAST_PRICE,-1,58,{},2022-12-19 00:00:00,2022-12-19 00:00:00,[17.38],[17.31]
co2,California,California,NAIVE_LAST_PRICE,-1,59,{},2022-12-20 00:00:00,2022-12-20 00:00:00,[17.38],[17.38]
co2,California,California,NAIVE_LAST_PRICE,-1,60,{},2022-12-21 00:00:00,2022-12-21 00:00:00,[17.44],[17.38]
co2,California,California,NAIVE_LAST_PRICE,-1,61,{},2022-12-22 00:00:00,2022-12-22 00:00:00,[17.35],[17.44]
co2,California,California,NAIVE_LAST_PRICE,-1,62,{},2022-12-23 00:00:00,2022-12-23 00:00:00,[17.5375],[17.35]
co2,California,California,NAIVE_LAST_PRICE,-1,63,{},2022-12-26 00:00:00,2022-12-26 00:00:00,[17.6],[17.5375]
co2,California,California,NAIVE_LAST_PRICE,-1,64,{},2022-12-27 00:00:00,2022-12-27 00:00:00,[17.19],[17.6]
co2,California,California,NAIVE_LAST_PRICE,-1,65,{},2022-12-28 00:00:00,2022-12-28 00:00:00,[17.3],[17.19]
co2,California,California,NAIVE_LAST_PRICE,-1,66,{},2022-12-29 00:00:00,2022-12-29 00:00:00,[17.43],[17.3]
