market,model_name,config_index,model_hyperparameters_dict,start_date,end_date,test_data_values_list,test_data_model_predictions_list
California,TCN,0,"{""channels"": 32, ""blocks"": 2, ""kernel_size"": 5, ""activation"": ""relu"", ""learning_rate"": 0.01, ""batch_size"": 16, ""epochs"": 32}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[16.87, 17.11, 17.2, 17.19, 17.3, 17.28, 17.31, 17.38, 17.38, 17.44, 17.35, 17.5375, 17.6, 17.19, 17.3, 17.43]","[16.669876098632812, 16.539649963378906, 16.50913429260254, 16.522321701049805, 16.57471466064453, 16.73894500732422, 16.65515899658203, 16.546960830688477, 16.75275230407715, 16.8623104095459, 16.916168212890625, 16.93438148498535, 17.050743103027344, 17.100597381591797, 17.152830123901367, 17.151710510253906]"
California,TCN,1,"{""channels"": 32, ""blocks"": 2, ""kernel_size"": 5, ""activation"": ""relu"", ""learning_rate"": 0.01, ""batch_size"": 16, ""epochs"": 64}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[16.87, 17.11, 17.2, 17.19, 17.3, 17.28, 17.31, 17.38, 17.38, 17.44, 17.35, 17.5375, 17.6, 17.19, 17.3, 17.43]","[16.681411743164062, 16.577972412109375, 16.549144744873047, 16.586814880371094, 16.625804901123047, 16.749183654785156, 16.70053482055664, 16.614299774169922, 16.785869598388672, 16.87287712097168, 16.921390533447266, 16.943132400512695, 17.050254821777344, 17.097763061523438, 17.14748191833496, 17.149818420410156]"
California,TCN,2,"{""channels"": 32, ""blocks"": 2, ""kernel_size"": 5, ""activation"": ""relu"", ""learning_rate"": 0.01, ""batch_size"": 32, ""epochs"": 32}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[16.87, 17.11, 17.2, 17.19, 17.3, 17.28, 17.31, 17.38, 17.38, 17.44, 17.35, 17.5375, 17.6, 17.19, 17.3, 17.43]","[16.670574188232422, 16.4648494720459, 16.256656646728516, 16.21780776977539, 16.227754592895508, 16.323110580444336, 16.29482078552246, 16.231456756591797, 16.415021896362305, 16.55715560913086, 16.620656967163086, 16.606464385986328, 16.64955711364746, 16.701730728149414, 16.868932723999023, 16.846698760986328]"
California,TCN,3,"{""channels"": 32, ""blocks"": 2, ""kernel_size"": 5, ""activation"": ""relu"", ""learning_rate"": 0.01, ""batch_size"": 32, ""epochs"": 64}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[16.87, 17.11, 17.2, 17.19, 17.3, 17.28, 17.31, 17.38, 17.38, 17.44, 17.35, 17.5375, 17.6, 17.19, 17.3, 17.43]","[16.60954475402832, 16.405963897705078, 16.21992301940918, 16.203380584716797, 16.239477157592773, 16.322282791137695, 16.310136795043945, 16.243175506591797, 16.418020248413086, 16.556365966796875, 16.627439498901367, 16.613994598388672, 16.651355743408203, 16.717695236206055, 16.813779830932617, 16.820819854736328]"
California,TCN,4,"{""channels"": 32, ""blocks"": 2, ""kernel_size"": 5, ""activation"": ""relu"", ""learning_rate"": 0.01, ""batch_size"": 64, ""epochs"": 32}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[16.87, 17.11, 17.2, 17.19, 17.3, 17.28, 17.31, 17.38, 17.38, 17.44, 17.35, 17.5375, 17.6, 17.19, 17.3, 17.43]","[16.724214553833008, 16.577396392822266, 16.507081985473633, 16.492088317871094, 16.567644119262695, 16.675731658935547, 16.645784378051758, 16.60970115661621, 16.730649948120117, 16.7872257232666, 16.76700782775879, 16.81935691833496, 16.906631469726562, 16.95772361755371, 17.08686637878418, 17.015605926513672]"
California,TCN,5,"{""channels"": 32, ""blocks"": 2, ""kernel_size"": 5, ""activation"": ""relu"", ""learning_rate"": 0.01, ""batch_size"": 64, ""epochs"": 64}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[16.87, 17.11, 17.2, 17.19, 17.3, 17.28, 17.31, 17.38, 17.38, 17.44, 17.35, 17.5375, 17.6, 17.19, 17.3, 17.43]","[16.661922454833984, 16.520139694213867, 16.501646041870117, 16.508346557617188, 16.590913772583008, 16.71688461303711, 16.70474624633789, 16.664512634277344, 16.780536651611328, 16.83807945251465, 16.82598876953125, 16.885879516601562, 16.93390655517578, 16.99546241760254, 17.09665298461914, 17.01274871826172]"
California,TCN,6,"{""channels"": 32, ""blocks"": 2, ""kernel_size"": 5, ""activation"": ""relu"", ""learning_rate"": 0.003, ""batch_size"": 16, ""epochs"": 32}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[16.87, 17.11, 17.2, 17.19, 17.3, 17.28, 17.31, 17.38, 17.38, 17.44, 17.35, 17.5375, 17.6, 17.19, 17.3, 17.43]","[16.71243667602539, 16.607872009277344, 16.484813690185547, 16.565399169921875, 16.61251449584961, 16.764755249023438, 16.675376892089844, 16.6487979888916, 16.822980880737305, 16.95618438720703, 16.97730827331543, 17.04096221923828, 17.12335968017578, 17.10921287536621, 17.220535278320312, 17.10711669921875]"
California,TCN,7,"{""channels"": 32, ""blocks"": 2, ""kernel_size"": 5, ""activation"": ""relu"", ""learning_rate"": 0.003, ""batch_size"": 16, ""epochs"": 64}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[16.87, 17.11, 17.2, 17.19, 17.3, 17.28, 17.31, 17.38, 17.38, 17.44, 17.35, 17.5375, 17.6, 17.19, 17.3, 17.43]","[16.70779800415039, 16.610641479492188, 16.498571395874023, 16.58930015563965, 16.665796279907227, 16.81133460998535, 16.729265213012695, 16.711673736572266, 16.875619888305664, 17.01231575012207, 17.02190589904785, 17.077322006225586, 17.14557456970215, 17.130842208862305, 17.21800994873047, 17.095638275146484]"
California,TCN,8,"{""channels"": 32, ""blocks"": 2, ""kernel_size"": 5, ""activation"": ""relu"", ""learning_rate"": 0.003, ""batch_size"": 32, ""epochs"": 32}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[16.87, 17.11, 17.2, 17.19, 17.3, 17.28, 17.31, 17.38, 17.38, 17.44, 17.35, 17.5375, 17.6, 17.19, 17.3, 17.43]","[16.764888763427734, 16.66521453857422, 16.50249481201172, 16.54828453063965, 16.611553192138672, 16.73853302001953, 16.635530471801758, 16.560056686401367, 16.66500473022461, 16.76102066040039, 16.783672332763672, 16.856836318969727, 16.957473754882812, 17.004047393798828, 17.094200134277344, 17.017526626586914]"
California,TCN,9,"{""channels"": 32, ""blocks"": 2, ""kernel_size"": 5, ""activation"": ""relu"", ""learning_rate"": 0.003, ""batch_size"": 32, ""epochs"": 64}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[16.87, 17.11, 17.2, 17.19, 17.3, 17.28, 17.31, 17.38, 17.38, 17.44, 17.35, 17.5375, 17.6, 17.19, 17.3, 17.43]","[16.7277774810791, 16.611841201782227, 16.449125289916992, 16.532297134399414, 16.626445770263672, 16.768550872802734, 16.689477920532227, 16.573755264282227, 16.650075912475586, 16.757186889648438, 16.799257278442383, 16.861183166503906, 16.947471618652344, 17.027454376220703, 17.057880401611328, 16.969329833984375]"
California,TCN,10,"{""channels"": 32, ""blocks"": 2, ""kernel_size"": 5, ""activation"": ""relu"", ""learning_rate"": 0.003, ""batch_size"": 64, ""epochs"": 32}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[16.87, 17.11, 17.2, 17.19, 17.3, 17.28, 17.31, 17.38, 17.38, 17.44, 17.35, 17.5375, 17.6, 17.19, 17.3, 17.43]","[16.65292739868164, 16.56196403503418, 16.443714141845703, 16.494808197021484, 16.57958221435547, 16.727245330810547, 16.638704299926758, 16.593975067138672, 16.743764877319336, 16.841766357421875, 16.9205379486084, 16.999561309814453, 17.096927642822266, 17.14862823486328, 17.267454147338867, 17.124561309814453]"
California,TCN,11,"{""channels"": 32, ""blocks"": 2, ""kernel_size"": 5, ""activation"": ""relu"", ""learning_rate"": 0.003, ""batch_size"": 64, ""epochs"": 64}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[16.87, 17.11, 17.2, 17.19, 17.3, 17.28, 17.31, 17.38, 17.38, 17.44, 17.35, 17.5375, 17.6, 17.19, 17.3, 17.43]","[16.706937789916992, 16.619056701660156, 16.462657928466797, 16.52174186706543, 16.525772094726562, 16.660968780517578, 16.579116821289062, 16.517383575439453, 16.688213348388672, 16.806964874267578, 16.880449295043945, 16.95406723022461, 17.021270751953125, 17.0579891204834, 17.16655731201172, 17.04837417602539]"
