market,model_name,config_index,model_hyperparameters_dict,start_date,end_date,test_data_values_list,test_data_model_predictions_list
California,MLP,0,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.01, ""batch_size"": 16, ""epochs"": 32}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[16.87, 17.11, 17.2, 17.19, 17.3, 17.28, 17.31, 17.38, 17.38, 17.44, 17.35, 17.5375, 17.6, 17.19, 17.3, 17.43]","[16.752994537353516, 16.55108642578125, 16.335962295532227, 16.331995010375977, 16.381189346313477, 16.491594314575195, 16.546958923339844, 16.475662231445312, 16.426733016967773, 16.446609497070312, 16.502864837646484, 16.580833435058594, 16.662338256835938, 16.799697875976562, 16.97589111328125, 16.93364906311035]"
California,MLP,1,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.01, ""batch_size"": 16, ""epochs"": 64}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[16.87, 17.11, 17.2, 17.19, 17.3, 17.28, 17.31, 17.38, 17.38, 17.44, 17.35, 17.5375, 17.6, 17.19, 17.3, 17.43]","[16.81814956665039, 16.643512725830078, 16.41105842590332, 16.425378799438477, 16.466697692871094, 16.56481170654297, 16.617876052856445, 16.534381866455078, 16.455564498901367, 16.4457950592041, 16.480358123779297, 16.552988052368164, 16.60296630859375, 16.760738372802734, 16.89952278137207, 16.853052139282227]"
California,MLP,2,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.01, ""batch_size"": 32, ""epochs"": 32}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[16.87, 17.11, 17.2, 17.19, 17.3, 17.28, 17.31, 17.38, 17.38, 17.44, 17.35, 17.5375, 17.6, 17.19, 17.3, 17.43]","[16.735454559326172, 16.520023345947266, 16.26167106628418, 16.238595962524414, 16.2606258392334, 16.346206665039062, 16.357765197753906, 16.25991439819336, 16.186012268066406, 16.225385665893555, 16.35884666442871, 16.423973083496094, 16.65753936767578, 16.88970947265625, 17.15902328491211, 17.185802459716797]"
California,MLP,3,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.01, ""batch_size"": 32, ""epochs"": 64}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[16.87, 17.11, 17.2, 17.19, 17.3, 17.28, 17.31, 17.38, 17.38, 17.44, 17.35, 17.5375, 17.6, 17.19, 17.3, 17.43]","[16.720237731933594, 16.566696166992188, 16.289304733276367, 16.27004051208496, 16.279254913330078, 16.360443115234375, 16.389848709106445, 16.292627334594727, 16.24011993408203, 16.269121170043945, 16.38726806640625, 16.442792892456055, 16.678607940673828, 16.939496994018555, 17.232799530029297, 17.271141052246094]"
California,MLP,4,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.01, ""batch_size"": 64, ""epochs"": 32}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[16.87, 17.11, 17.2, 17.19, 17.3, 17.28, 17.31, 17.38, 17.38, 17.44, 17.35, 17.5375, 17.6, 17.19, 17.3, 17.43]","[16.681262969970703, 16.493331909179688, 16.215314865112305, 16.132741928100586, 16.040149688720703, 16.027435302734375, 16.0302734375, 15.928617477416992, 15.93714714050293, 16.0470027923584, 16.245378494262695, 16.40981674194336, 16.603178024291992, 16.79179573059082, 17.087764739990234, 17.060556411743164]"
California,MLP,5,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.01, ""batch_size"": 64, ""epochs"": 64}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[16.87, 17.11, 17.2, 17.19, 17.3, 17.28, 17.31, 17.38, 17.38, 17.44, 17.35, 17.5375, 17.6, 17.19, 17.3, 17.43]","[16.700185775756836, 16.456050872802734, 16.11602020263672, 16.07878875732422, 15.990907669067383, 15.985949516296387, 15.99181842803955, 15.86201286315918, 15.880908012390137, 15.99678897857666, 16.209497451782227, 16.416654586791992, 16.624849319458008, 16.872629165649414, 17.188615798950195, 17.121843338012695]"
California,MLP,6,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.003, ""batch_size"": 16, ""epochs"": 32}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[16.87, 17.11, 17.2, 17.19, 17.3, 17.28, 17.31, 17.38, 17.38, 17.44, 17.35, 17.5375, 17.6, 17.19, 17.3, 17.43]","[16.768835067749023, 16.565673828125, 16.331497192382812, 16.294376373291016, 16.33323097229004, 16.428197860717773, 16.46638298034668, 16.436216354370117, 16.41950798034668, 16.45092010498047, 16.536794662475586, 16.64801597595215, 16.750558853149414, 16.898435592651367, 17.11527442932129, 17.12593650817871]"
California,MLP,7,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.003, ""batch_size"": 16, ""epochs"": 64}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[16.87, 17.11, 17.2, 17.19, 17.3, 17.28, 17.31, 17.38, 17.38, 17.44, 17.35, 17.5375, 17.6, 17.19, 17.3, 17.43]","[16.748580932617188, 16.535917282104492, 16.260332107543945, 16.26461410522461, 16.32134246826172, 16.41975212097168, 16.464069366455078, 16.41786003112793, 16.398441314697266, 16.423694610595703, 16.49998664855957, 16.597055435180664, 16.70552635192871, 16.90031623840332, 17.11940574645996, 17.09156608581543]"
California,MLP,8,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.003, ""batch_size"": 32, ""epochs"": 32}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[16.87, 17.11, 17.2, 17.19, 17.3, 17.28, 17.31, 17.38, 17.38, 17.44, 17.35, 17.5375, 17.6, 17.19, 17.3, 17.43]","[16.711294174194336, 16.56972312927246, 16.39879035949707, 16.361799240112305, 16.3723087310791, 16.428625106811523, 16.433368682861328, 16.380014419555664, 16.393905639648438, 16.449960708618164, 16.54218101501465, 16.71004295349121, 16.87641716003418, 17.04330062866211, 17.29677963256836, 17.36337661743164]"
California,MLP,9,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.003, ""batch_size"": 32, ""epochs"": 64}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[16.87, 17.11, 17.2, 17.19, 17.3, 17.28, 17.31, 17.38, 17.38, 17.44, 17.35, 17.5375, 17.6, 17.19, 17.3, 17.43]","[16.766611099243164, 16.630950927734375, 16.36796760559082, 16.350852966308594, 16.322072982788086, 16.377315521240234, 16.398454666137695, 16.316301345825195, 16.314754486083984, 16.405502319335938, 16.53970718383789, 16.700719833374023, 16.90375518798828, 17.130657196044922, 17.384313583374023, 17.450359344482422]"
California,MLP,10,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.003, ""batch_size"": 64, ""epochs"": 32}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[16.87, 17.11, 17.2, 17.19, 17.3, 17.28, 17.31, 17.38, 17.38, 17.44, 17.35, 17.5375, 17.6, 17.19, 17.3, 17.43]","[16.680313110351562, 16.51532745361328, 16.30770492553711, 16.258333206176758, 16.25886344909668, 16.284364700317383, 16.281234741210938, 16.26080894470215, 16.234296798706055, 16.23786735534668, 16.300275802612305, 16.427757263183594, 16.54850959777832, 16.702266693115234, 16.913433074951172, 16.946590423583984]"
California,MLP,11,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.003, ""batch_size"": 64, ""epochs"": 64}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[16.87, 17.11, 17.2, 17.19, 17.3, 17.28, 17.31, 17.38, 17.38, 17.44, 17.35, 17.5375, 17.6, 17.19, 17.3, 17.43]","[16.746641159057617, 16.5358943939209, 16.232257843017578, 16.12352752685547, 16.069942474365234, 16.068761825561523, 16.07799530029297, 16.065317153930664, 16.046207427978516, 16.05887794494629, 16.150650024414062, 16.268537521362305, 16.394624710083008, 16.561365127563477, 16.782669067382812, 16.795442581176758]"
California,MLP,12,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.001, ""batch_size"": 16, ""epochs"": 32}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[16.87, 17.11, 17.2, 17.19, 17.3, 17.28, 17.31, 17.38, 17.38, 17.44, 17.35, 17.5375, 17.6, 17.19, 17.3, 17.43]","[16.724580764770508, 16.568471908569336, 16.417377471923828, 16.389320373535156, 16.426937103271484, 16.488801956176758, 16.505632400512695, 16.51055908203125, 16.497093200683594, 16.481477737426758, 16.527570724487305, 16.616605758666992, 16.701122283935547, 16.821426391601562, 17.00811004638672, 17.03550910949707]"
California,MLP,13,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.001, ""batch_size"": 16, ""epochs"": 64}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[16.87, 17.11, 17.2, 17.19, 17.3, 17.28, 17.31, 17.38, 17.38, 17.44, 17.35, 17.5375, 17.6, 17.19, 17.3, 17.43]","[16.743947982788086, 16.535600662231445, 16.311555862426758, 16.279916763305664, 16.323822021484375, 16.39317512512207, 16.43207359313965, 16.42901039123535, 16.408504486083984, 16.409564971923828, 16.463632583618164, 16.545927047729492, 16.636911392211914, 16.78781509399414, 17.00346565246582, 17.02137565612793]"
California,MLP,14,"{""hidden_units"": 32, ""num_layers"": 2, ""activation"": ""relu"", ""learning_rate"": 0.001, ""batch_size"": 32, ""epochs"": 32}",2022-12-08 00:00:00,2022-12-29 00:00:00,"[16.87, 17.11, 17.2, 17.19, 17.3, 17.28, 17.31, 17.38, 17.38, 17.44, 17.35, 17.5375, 17.6, 17.19, 17.3, 17.43]","[16.809566497802734, 16.702852249145508, 16.55338478088379, 16.529727935791016, 16.54071617126465, 16.600622177124023, 16.597196578979492, 16.589914321899414, 16.573020935058594, 16.582256317138672, 16.651151657104492, 16.76728630065918, 16.84157943725586, 16.94171714782715, 17.083187103271484, 17.11652946472168]"
